ID,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Length
122,62.1,188.99,19.11,58.31,18.59,56.52,303.821,0.256021
123,34.34,110.62,28.69,92.84,34.97,112.34,315.797,0.0210258
124,36.36,441.09,33,358.78,28.14,321.48,1121.347,0.0203135
125,36.05,586.65,29.84,497.29,32,529.5,1613.443,0.00334032
126,35.66,880.41,32.6,827.34,31.74,781.15,2488.902,0.00475067
127,40.12,936.07,29.89,702.13,29.99,686.09,2324.286,0.0140916
128,38.49,899.1,30.92,703.65,30.59,695.64,2298.388,0.0111117
129,73.01,2665.72,13.82,477.8,13.17,462.09,3605.616,0.0590031
130,63.15,950.14,18.9,275.21,17.94,264.49,1489.842,0.019854
131,64.53,585.05,17.87,156.82,17.6,156.98,898.842,0.0106897
132,52.06,296.14,24.83,126.46,23.11,120.5,543.096,0.00314386
133,64.62,278.88,15.6,68.05,19.79,86.53,433.461,0.00907487
134,15.64,97.65,63.51,356.86,20.84,124.71,579.217,0.00204322
135,51.95,397.81,28.81,229.38,19.24,142.61,769.807,0.00426341
136,77.02,1188.66,12.04,175.31,10.95,157.45,1521.411,0.0210316
137,57.74,580.26,21.94,213.53,20.31,197.36,991.159,0.00539037
138,59.76,557.9,21.4,187.62,18.84,172.62,918.139,0.00373754
139,77.58,582.07,12.21,86.1,10.21,94.37,762.535,0.004258
140,62.89,222.69,21.5,64.1,15.61,47.88,334.661,0.00121555
141,41.57,298.99,25.82,187.7,32.61,249.79,736.49,0.00134214
142,52.2,395.65,23.28,152.17,24.52,159.86,707.68,0.00132313
143,60.82,590.49,20.05,192.24,19.13,178.93,961.664,0.00619761
144,61.51,444.1,15.36,112.69,23.13,152.12,708.904,0.00567791
145,85.13,504.79,7.1,41.61,7.77,49.55,595.948,0.0042924
146,49.97,382.03,24.31,178.8,25.71,188.7,749.532,0.00265928
147,79.63,2100.53,10.54,263.04,9.83,246.12,2609.688,0.0369747
148,35.17,386.66,27.21,302.96,37.62,416.49,1106.099,0.00161469
149,42.51,505.32,28.1,321.95,29.38,340.98,1168.251,0.00380271
150,57.56,1483.87,18.57,468.5,23.67,573.29,2525.654,0.0334143
151,68.55,1071.06,15.15,239.25,16.29,251.6,1561.91,0.0366836
152,33.71,324.21,23.37,222.93,21.62,208.14,755.284,0.012613
153,29.56,317.69,24.23,250.46,22.61,239.18,807.325,0.0261529
154,33.56,504.83,31.96,479.51,32.18,482.15,1466.487,0.0064721
155,37.59,484.92,29.83,380.6,29.78,374.38,1239.902,0.0183931
156,43.91,408.81,25.3,230.88,26.58,243.64,883.326,0.0409814
157,43.64,374.23,29.05,248.68,24.21,206.75,829.66,0.0387555
158,62.73,668.91,17.51,185.87,17.35,184.51,1039.289,0.0856326
159,51.1,322.3,20.6,129.92,24.2,151.01,603.235,0.0268366
160,29.36,149.13,33.3,168.88,33.24,167.81,485.819,0.00552935
161,59.53,404.49,19.92,134.59,16.75,113.11,652.197,0.0357301
162,42.15,260.09,27.39,168.29,26.86,165.08,593.463,0.0168208
163,59.74,465.05,19.78,153.42,17.29,134.22,752.688,0.0523501
164,69,465.84,14.01,94.14,13.99,95.05,655.034,0.0444039
165,64.36,234.31,16.62,59.74,16.11,58.54,352.584,0.0227195
166,44.39,493.77,24.67,274.35,27.14,305.08,1073.207,0.0217416
167,65.48,1276.54,15.42,295.62,16.4,315.38,1887.528,0.105472
168,61.36,1401.51,20.31,459.6,18.33,416.91,2278.024,0.0335527
169,43.73,997.15,27.12,613.3,29.15,652.85,2263.297,0.0243347
170,42.4,812.37,32.66,623.13,24.94,478.81,1914.315,0.0147769
171,92.64,3065.85,2.74,87.39,2.72,87,3240.248,0.128415
172,37.66,391.96,9.35,91.38,10.19,104.27,587.618,0.105365
173,30.97,120.91,22.27,85.77,20.97,87.3,293.974,0.0217451
174,34.76,173.58,24.34,129.73,24.8,126.56,429.862,0.0106427
175,53.8,1235.62,23.63,523.45,22.27,499.23,2258.292,0.0412296
176,94,3576.71,2.9,104.89,3,106.27,3787.876,0.0938827
177,92.69,659.86,4,27.04,3.3,22.73,709.635,0.0125037
178,82.74,101.32,6.45,7.73,10.81,15.41,124.453,0.00203636
179,37.54,733.15,32.76,627.47,29.7,569.81,1930.43,0.0110188
180,47,898.26,28.74,538.5,24.25,470.42,1907.178,0.0179655
181,85.96,1902.63,6.47,140.01,7.47,159.82,2202.464,0.0407596
182,41.47,259.82,27.49,171.89,31.04,194.07,625.785,0.00281607
183,60.03,454.92,21.04,154.3,18.94,136.9,746.123,0.00753273
184,61.54,381.25,20.31,124.36,18.15,111.65,617.262,0.00504245
185,73.14,379.08,12.26,60.87,14.6,67.62,507.565,0.00627474
186,68.77,476.04,15.45,110.85,15.77,107.61,694.504,0.00684999
187,85.68,2692.5,6.87,198.23,6.85,198.73,3089.46,0.0880296
188,52.77,504.16,24.29,225.35,22.54,208.36,937.862,0.0120173
189,70.26,777.37,15.16,160.04,14.59,153.15,1090.554,0.0141777
190,85.43,639.29,8.1,56.81,6.46,45.43,741.534,0.0133521
191,90.84,199.16,4.79,10.5,4.37,10.32,219.969,0.00318067
192,44.64,99.59,24.58,54.68,30.78,67.2,221.476,0.00148219
193,76.37,981.05,11.44,141.03,12.19,148.08,1270.153,0.0203037
194,56.39,336.62,21.56,118,22.05,120.65,575.26,0.00562576
195,81.18,380.57,11.16,51.16,7.65,35.14,466.875,0.00991226
196,73.25,665.93,11.59,98.92,14.17,117.15,881.995,0.0236784
197,31.91,493.75,36.18,541.51,30.91,480.51,1515.771,0.00338234
198,35.23,536.04,32.44,506.3,29.74,466.9,1509.236,0.00347457
199,57.28,1172.88,16.15,324.84,16.97,334.15,1831.872,0.0346388
200,90.78,2649.2,1.2,32.44,1.32,35.09,2716.728,0.0708038
201,91.16,345.33,5.44,20.05,3.4,11.69,377.063,0.00583218
202,35.95,842.67,30.43,694.58,31.12,716.91,2254.159,0.00894255
203,63.7,2050.59,17.67,562.96,18.63,582.62,3196.178,0.0460411
204,95.63,4248.89,2.11,87.81,2.26,94.59,4431.294,0.0786428
205,52.07,226.62,22.32,92.49,25.6,108.08,427.187,0.00320587
206,80.03,460.36,8.82,49.5,11.14,61.31,571.166,0.00612641
207,50.66,1221.47,22.94,551.85,26.4,626.74,2400.061,0.0203793
208,98.51,3800.9,0.85,30.46,0.64,21.19,3852.549,0.0864189
209,51.13,999.56,21.15,409.79,27.72,526.47,1935.822,0.0216094
210,53.03,1041.43,21.65,407.78,25.32,470.16,1919.372,0.022168
211,81.81,2103.39,7.74,192.61,10.45,250.59,2546.582,0.0455244
212,39.07,580.58,26.85,403.61,34.08,508.34,1492.538,0.002939
